season,player,possessions,DRAYMOND
2018,Jahlil Okafor,722.2323,0.2133853
2017,C.J. Watson,2095.472,-1.347875
2017,Thon Maker,1349.822,2.237481
2019,Luke Kornet,1675.473,2.745362
2017,Mindaugas Kuzminskas,2108.835,-3.297455
2015,Gigi Datome,455.9683,1.006836
2015,Tony Snell,3079.382,0.9071624
2018,Tyler Lydon,3.6925,-8.817991
2019,Sindarius Thornwell,767.4514,1.058908
2019,Ivica Zubac,2365.076,2.427843
2017,Donatas Motiejunas,1027.156,0.2211297
2015,Phil Pressey,1249.659,-1.017405
2014,Mike Harris,457.4531,1.410223
2019,Thaddeus Young,5391.132,-0.0774711
2016,Chris McCullough,752.7337,-0.1836436
2019,Quinn Cook,2649.465,-2.105114
2017,Wayne Ellington,3041.563,-0.7234402
2015,Darrell Arthur,2065.743,1.92405
2015,Dewayne Dedmon,1704.964,1.758317
2019,Damian Jones,888.5454,1.135707
2017,Jimmy Butler,6135.1,0.7219406
2016,Bradley Beal,3592.849,-0.4436967
2018,Sindarius Thornwell,2479.138,0.6476371
2019,Khem Birch,1561.815,1.634026
2014,Andre Roberson,835.7681,-0.3315544
2019,Donte Grantham,4.935,7.323026
2017,Jarrett Jack,68.33063,-0.2103615
2014,Nikola Pekovic,3463.198,-0.4054427
2017,Norris Cole,316.151,-0.4637705
2015,Cory Joseph,2955.364,1.125177
2016,Darrun Hilliard,778.9263,-0.9096719
2014,Donatas Motiejunas,2013.083,0.1913826
2017,Kevon Looney,961.9813,4.628363
2019,Chasson Randle,1634.755,-1.697359
2019,Wayne Ellington,2965.246,0.0152497
2016,Andrew Wiggins,5780.091,-0.1313312
2017,Patrick Beverley,5020.949,-0.4113003
2015,Shannon Brown,172.9752,-2.775548
2019,Dante Exum,1438.943,0.7656596
2017,Tyus Jones,1580.734,-0.964049
2014,Xavier Henry,1934.04,-0.1805937
2016,Al-Farouq Aminu,5620.879,0.503723
2017,Nicolas Brussino,1055.785,-3.109215
2014,E'Twaun Moore,3050.905,0.3901682
2017,Mario Hezonja,1966.0,-0.4406173
2018,Andrew Wiggins,6404.738,-0.3053623
2014,Dwight Howard,5290.268,0.7143331
2015,PJ Hairston,1393.894,-1.245422
2014,Kyle Singler,4743.623,-0.3232217
2015,Cole Aldrich,1934.92,-0.030905
2019,Kevon Looney,4145.064,2.719931
2018,Nik Stauskas,1100.86,1.206937
2019,Chris Boucher,378.4338,4.423605
2018,Ivica Zubac,880.3896,1.783685
2015,Drew Gordon,159.5873,-2.205508
2019,Andrew Wiggins,5400.167,0.142695
2019,Bam Adebayo,4005.742,0.7348471
2016,Tim Frazier,1516.44,-0.2200512
2014,Thomas Robinson,2041.425,-0.679526
2019,Yuta Watanabe,368.2637,-1.697397
2017,Al Horford,5690.006,-0.059025
2015,Jamal Crawford,4263.782,-1.313496
2018,Jordan Clarkson,4572.307,-0.8816471
2016,Kendall Marshall,865.75,-3.216272
2016,Markieff Morris,3404.875,0.8402399
2016,Luol Deng,5781.086,0.0506919
2016,JR Smith,6089.829,-0.6256329
2019,Omari Spellman,1818.461,1.695296
2015,Shelvin Mack,1874.886,-1.534502
2015,Cameron Bairstow,132.4667,1.038977
2015,Channing Frye,3757.142,-1.557112
2015,Jerrelle Benimon,6.05875,-2.544731
2018,Damion Lee,865.6542,0.9897022
2018,Ramon Sessions,815.5183,-0.4508174
2014,Kent Bazemore,1980.733,-0.4312702
2018,Karl-Anthony Towns,6228.204,-0.0200618
2018,Jacob Pullen,15.2875,5.982418
2017,Aaron Gordon,4731.486,0.2830148
2019,PJ Tucker,6631.786,0.8450865
2017,Joel Bolomboy,130.5527,0.2238003
2015,Dion Waiters,4508.005,-0.0098718
2015,Will Barton,2021.247,1.686752
2016,Jimmy Butler,4991.295,-0.5976036
2018,Tarik Black,1185.274,2.218146
2016,Andre Iguodala,5284.902,-1.00842
2015,Travis Wear,1326.08,0.0421569
2018,Anthony Tolliver,3612.831,1.774496
2019,Eric Moreland,157.6569,-3.567883
